¿Cuál es su sexo?;¿Cuál es su año de nacimiento?;Edad;¿Cuál es su Nacionalidad?;"Ha seleccionado ""Otra"", por favor, indíquela:";Código Postal;¿Cuál es su nivel de estudios alcanzados?;Situación profesional:;"Ha seleccionado ""Otra situación"", por favor, especifique:";¿Con qué frecuencia visita la estación de esquí y montaña de Sierra Nevada en invierno?;¿Con qué frecuencia visita  la estación en conjunto? (Invierno y Verano);¿Qué opinión tiene de las actividades ofertadas?;Servicio de venta de forfaits;Servicio de atención al cliente;Colas en el Centro de Atención al Usuario (Atención al cliente y Taquillas);Colas en el acceso a los remontes;Preparación de las pistas;Número y variedad de pistas;Áreas recreativas y lúdicas para no esquiadores;Snowpark;Servicio de aparcamiento de pago (parking);Accesos por carretera a la estación de esqui, snowboard y montaña de Sierra Nevada;Movilidad en la urbanización;Mantenimiento y limpieza de la urbanización;¿Qué probabilidades hay de que recomiende Sierra Nevada a un amigo o compañero?;Created;Updated
Masculino;1990;34;Española;;41704;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;6;6;4;6;7;5;6;6;4;6;6;8;14/1/2024 18:32;14/1/2024 18:32
Femenino;1987;37;Española;;29018;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;10;10;10;10;10;10;10;10;10;10;10;13/1/2024 22:59;13/1/2024 22:59
Masculino;2002;22;Española;;18193;EGB / Primaria / ESO / FP Medio;Trabaja;;;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;10;10;10;10;10;10;10;10;10;10;10;10;10;13/1/2024 01:24;13/1/2024 01:24
Femenino;1992;32;Española;;41089;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;10;10;10;7;9;4;10;7;9;6;7;7;8;13/1/2024 10:48;13/1/2024 10:48
Masculino;1981;43;Francesa;;30880;EGB / Primaria / ESO / FP Medio;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;5;5;2;0;0;0;4;0;7;7;6;7;7;13/1/2024 02:12;13/1/2024 02:12
Femenino;1990;34;Española;;41012;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;1;1;1;1;4;3;3;3;1;1;1;1;7;13/1/2024 01:52;13/1/2024 01:52
Masculino;1999;25;Española;;18560;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;5;7;7;4;6;5;4;3;4;6;6;6;6;13/1/2024 00:04;13/1/2024 00:04
Masculino;1996;28;Española;;41089;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;7;9;8;9;6;4;9;2;4;8;6;6;13/1/2024 01:09;13/1/2024 01:09
Femenino;1993;31;Española;;41013;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;1;7;7;6;6;5;7;7;7;7;13/1/2024 01:31;13/1/2024 01:31
Masculino;1998;26;Española;;21120;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;2;2;2;4;5;7;1;10;2;6;7;10;10;13/1/2024 01:14;13/1/2024 01:14
Masculino;1988;36;Española;;14007;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;9;9;7;9;9;9;8;8;8;8;8;10;13/1/2024 01:07;13/1/2024 01:07
Femenino;1965;59;Española;;19009;Grado / Licenciado / Doctorado;Jubilado;;;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;0;0;0;7;0;8;6;6;6;7;13/1/2024 01:23;13/1/2024 01:23
Masculino;1992;32;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;7;4;6;7;7;5;1;4;4;6;6;13/1/2024 01:02;13/1/2024 01:02
Masculino;1989;35;Española;;6228;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;3;7;0;7;8;6;4;5;2;0;5;0;6;13/1/2024 01:01;13/1/2024 01:01
Masculino;1981;43;Española;;41009;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;8;8;0;6;9;6;8;7;2;0;3;0;6;13/1/2024 00:50;13/1/2024 00:50
Masculino;1988;36;Española;;29010;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;5;7;4;4;8;7;6;6;3;5;7;9;8;13/1/2024 01:21;13/1/2024 01:21
Masculino;2002;22;Española;;18670;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;9;6;8;7;8;9;5;8;7;9;8;13/1/2024 01:21;13/1/2024 01:21
Masculino;1975;49;Española;;29660;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;6;5;7;5;6;6;7;7;7;7;7;6;13/1/2024 00:07;13/1/2024 00:07
Femenino;1994;30;Española;;14120;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;10;8;6;8;8;9;7;5;7;9;9;10;13/1/2024 00:54;13/1/2024 00:54
Femenino;2001;23;Española;;18800;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;8;7;5;8;8;8;7;8;8;5;7;6;12/1/2024 23:33;12/1/2024 23:33
